date,target_group,value,population
2024-07-27,Overall,391,19116209
2024-07-27,Pediatrics,194,4921958
2024-08-03,Adults,165,14194251
2024-08-03,Overall,381,19116209
2024-08-03,Pediatrics,216,4921958
2024-08-10,Adults,201,14194251
2024-08-10,Overall,404,19116209
2024-08-10,Pediatrics,203,4921958
2024-08-17,Adults,185,14194251
2024-08-17,Overall,406,19116209
2024-08-17,Pediatrics,221,4921958
2024-08-24,Adults,202,14194251
2024-08-24,Overall,436,19116209
2024-08-24,Pediatrics,234,4921958
2024-08-31,Adults,156,14194251
2024-08-31,Overall,347,19116209
2024-08-31,Pediatrics,191,4921958
2024-09-07,Adults,158,14194251
2024-09-07,Overall,366,19116209
2024-09-07,Pediatrics,208,4921958
2024-09-14,Adults,173,14194251
2024-09-14,Overall,349,19116209
2024-09-14,Pediatrics,176,4921958
2024-09-21,Adults,183,14194251
2024-09-21,Overall,343,19116209
2024-09-21,Pediatrics,160,4921958
2024-09-28,Adults,195,14194251
2024-09-28,Overall,334,19116209
2024-09-28,Pediatrics,139,4921958
2024-10-05,Adults,179,14194251
2024-10-05,Overall,334,19116209
2024-10-05,Pediatrics,155,4921958
2024-10-12,Adults,151,14194251
2024-10-12,Overall,325,19116209
2024-10-12,Pediatrics,174,4921958
2024-10-19,Adults,152,14194251
2024-10-19,Overall,346,19116209
2024-10-19,Pediatrics,194,4921958
2024-10-26,Adults,136,14194251
2024-10-26,Overall,287,19116209
2024-10-26,Pediatrics,151,4921958
2024-11-02,Adults,156,14194251
2024-11-02,Overall,320,19116209
2024-11-02,Pediatrics,164,4921958
2024-11-09,Adults,145,14194251
2024-11-09,Overall,293,19116209
2024-11-09,Pediatrics,148,4921958
2024-11-16,Adults,147,14194251
2024-11-16,Overall,282,19116209
2024-11-16,Pediatrics,135,4921958
2024-11-23,Adults,170,14194251
2024-11-23,Overall,322,19116209
2024-11-23,Pediatrics,152,4921958
2024-11-30,Adults,142,14194251
2024-11-30,Overall,259,19116209
2024-11-30,Pediatrics,117,4921958
2024-12-07,Adults,152,14194251
2024-12-07,Overall,279,19116209
2024-12-07,Pediatrics,127,4921958
2024-12-14,Adults,114,14194251
2024-12-14,Overall,213,19116209
2024-12-14,Pediatrics,99,4921958
2024-12-21,Adults,109,14194251
2024-12-21,Overall,173,19116209
2024-12-21,Pediatrics,64,4921958
2024-12-28,Adults,74,14194251
2024-12-28,Overall,104,19116209
2024-12-28,Pediatrics,30,4921958
2025-01-04,Adults,109,14194251
2025-01-04,Overall,143,19116209
2025-01-04,Pediatrics,34,4921958
2025-01-11,Adults,100,14194251
2025-01-11,Overall,130,19116209
2025-01-11,Pediatrics,30,4921958
2025-01-18,Adults,81,14194251
2025-01-18,Overall,103,19116209
2025-01-18,Pediatrics,22,4921958
2025-01-25,Adults,88,14194251
2025-01-25,Overall,109,19116209
2025-01-25,Pediatrics,21,4921958
2025-02-01,Adults,79,14194251
2025-02-01,Overall,95,19116209
2025-02-01,Pediatrics,16,4921958
2025-02-08,Adults,65,14194251
2025-02-08,Overall,84,19116209
2025-02-08,Pediatrics,19,4921958
2025-02-15,Adults,68,14194251
2025-02-15,Overall,84,19116209
2025-02-15,Pediatrics,16,4921958
2025-02-22,Adults,91,14194251
2025-02-22,Overall,117,19116209
2025-02-22,Pediatrics,26,4921958
2025-03-01,Adults,60,14194251
2025-03-01,Overall,82,19116209
2025-03-01,Pediatrics,22,4921958
2025-03-08,Adults,99,14194251
2025-03-08,Overall,131,19116209
2025-03-08,Pediatrics,32,4921958
2025-03-15,Adults,93,14194251
2025-03-15,Overall,200,19116209
2025-03-15,Pediatrics,107,4921958
2025-03-22,Adults,107,14194251
2025-03-22,Overall,243,19116209
2025-03-22,Pediatrics,136,4921958
2025-03-29,Adults,139,14194251
2025-03-29,Overall,233,19116209
2025-03-29,Pediatrics,94,4921958
2025-04-05,Adults,169,14194251
2025-04-05,Overall,259,19116209
2025-04-05,Pediatrics,90,4921958
2025-04-12,Adults,190,14194251
2025-04-12,Overall,257,19116209
2025-04-12,Pediatrics,67,4921958
2025-04-19,Adults,185,14194251
2025-04-19,Overall,276,19116209
2025-04-19,Pediatrics,91,4921958
