date,target_group,population,value
2/18/23,North Carolina,11046024,48
2/25/23,Delaware,1051917,0
2/25/23,Florida,23372215,213
2/25/23,Georgia,11180878,60
2/25/23,Maryland,6263220,26
2/25/23,North Carolina,11046024,29
3/4/23,Delaware,1051917,5
3/4/23,Florida,23372215,178
3/4/23,Georgia,11180878,54
3/4/23,Maryland,6263220,13
3/4/23,North Carolina,11046024,38
3/11/23,Delaware,1051917,1
3/11/23,Florida,23372215,179
3/11/23,Georgia,11180878,51
3/11/23,Maryland,6263220,16
3/11/23,North Carolina,11046024,27
3/18/23,Delaware,1051917,0
3/18/23,Florida,23372215,211
3/18/23,Georgia,11180878,54
3/18/23,Maryland,6263220,10
3/18/23,North Carolina,11046024,32
3/25/23,Delaware,1051917,2
3/25/23,Florida,23372215,158
3/25/23,Georgia,11180878,62
3/25/23,Maryland,6263220,21
3/25/23,North Carolina,11046024,25
4/1/23,Delaware,1051917,2
4/1/23,Florida,23372215,165
4/1/23,Georgia,11180878,53
4/1/23,Maryland,6263220,9
4/1/23,North Carolina,11046024,12
4/8/23,Delaware,1051917,0
4/8/23,Florida,23372215,184
4/8/23,Georgia,11180878,49
4/8/23,Maryland,6263220,12
4/8/23,North Carolina,11046024,23
4/15/23,Delaware,1051917,0
4/15/23,Florida,23372215,130
4/15/23,Georgia,11180878,29
4/15/23,Maryland,6263220,13
4/15/23,North Carolina,11046024,25
4/22/23,Delaware,1051917,0
4/22/23,Florida,23372215,152
4/22/23,Georgia,11180878,44
4/22/23,Maryland,6263220,10
4/22/23,North Carolina,11046024,13
4/29/23,Delaware,1051917,1
4/29/23,Florida,23372215,136
4/29/23,Georgia,11180878,43
4/29/23,Maryland,6263220,10
4/29/23,North Carolina,11046024,10
5/6/23,Delaware,1051917,0
5/6/23,Florida,23372215,128
5/6/23,Georgia,11180878,33
5/6/23,Maryland,6263220,15
5/6/23,North Carolina,11046024,8
5/13/23,Delaware,1051917,1
5/13/23,Florida,23372215,132
5/13/23,Georgia,11180878,50
5/13/23,Maryland,6263220,11
5/13/23,North Carolina,11046024,18
5/20/23,Delaware,1051917,0
5/20/23,Florida,23372215,140
5/20/23,Georgia,11180878,30
5/20/23,Maryland,6263220,5
5/20/23,North Carolina,11046024,11
5/27/23,Delaware,1051917,0
5/27/23,Florida,23372215,141
5/27/23,Georgia,11180878,37
5/27/23,Maryland,6263220,6
5/27/23,North Carolina,11046024,5
6/3/23,Delaware,1051917,3
6/3/23,Florida,23372215,148
6/3/23,Georgia,11180878,46
6/3/23,Maryland,6263220,8
6/3/23,North Carolina,11046024,14
6/10/23,Delaware,1051917,0
6/10/23,Florida,23372215,166
6/10/23,Georgia,11180878,55
6/10/23,Maryland,6263220,5
6/10/23,North Carolina,11046024,12
6/17/23,Delaware,1051917,0
6/17/23,Florida,23372215,148
6/17/23,Georgia,11180878,41
6/17/23,Maryland,6263220,2
6/17/23,North Carolina,11046024,19
6/24/23,Delaware,1051917,0
6/24/23,Florida,23372215,165
6/24/23,Georgia,11180878,38
6/24/23,Maryland,6263220,8
6/24/23,North Carolina,11046024,19
7/1/23,Delaware,1051917,0
7/1/23,Florida,23372215,158
7/1/23,Georgia,11180878,38
7/1/23,Maryland,6263220,0
7/1/23,North Carolina,11046024,18
7/8/23,Delaware,1051917,0
7/8/23,Florida,23372215,144
7/8/23,Georgia,11180878,23
7/8/23,Maryland,6263220,3
7/8/23,North Carolina,11046024,10
7/15/23,Delaware,1051917,0
7/15/23,Florida,23372215,138
7/15/23,Georgia,11180878,18
7/15/23,Maryland,6263220,5
7/15/23,North Carolina,11046024,13
7/22/23,Delaware,1051917,2
7/22/23,Florida,23372215,109
7/22/23,Georgia,11180878,17
7/22/23,Maryland,6263220,4
7/22/23,North Carolina,11046024,6
7/29/23,Delaware,1051917,0
7/29/23,Florida,23372215,131
7/29/23,Georgia,11180878,16
7/29/23,Maryland,6263220,14
7/29/23,North Carolina,11046024,9
8/5/23,Delaware,1051917,0
8/5/23,Florida,23372215,131
8/5/23,Georgia,11180878,19
8/5/23,Maryland,6263220,7
8/5/23,North Carolina,11046024,8
8/12/23,Delaware,1051917,1
8/12/23,Florida,23372215,133
8/12/23,Georgia,11180878,28
8/12/23,Maryland,6263220,5
8/12/23,North Carolina,11046024,13
8/19/23,Delaware,1051917,0
8/19/23,Florida,23372215,152
8/19/23,Georgia,11180878,19
8/19/23,Maryland,6263220,6
8/19/23,North Carolina,11046024,15
8/26/23,Delaware,1051917,0
8/26/23,Florida,23372215,160
8/26/23,Georgia,11180878,28
8/26/23,Maryland,6263220,3
8/26/23,North Carolina,11046024,8
9/2/23,Delaware,1051917,0
9/2/23,Florida,23372215,171
9/2/23,Georgia,11180878,34
9/2/23,Maryland,6263220,5
9/2/23,North Carolina,11046024,19
9/9/23,Delaware,1051917,0
9/9/23,Florida,23372215,150
9/9/23,Georgia,11180878,21
9/9/23,Maryland,6263220,5
9/9/23,North Carolina,11046024,8
9/16/23,Delaware,1051917,0
